SL No.,name,state,district,latitude ,longitude ,coalQty,electricityConsumed,transportation,deforestedArea,coal,electricity,fuel,transport,deforestation,carbonFootprint,description,image
410,KOYAGUDEM OC-III,Telangana ,Bhadradri Kothagudem,17.6265,80.4926,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
411,PK - OC-2,Telangana ,Bhadradri Kothagudem,17.9406,80.772,5021738,45195642,10063.476,251.0869,12152.60596,32360.07967,1006.3476,2.686948092,138.2233385,44653.59592,OC,
412,PK OC-4,Telangana ,Bhadradri Kothagudem,17.9391,80.7784,2980751,26826759,5981.502,149.03755,7213.41742,19207.95944,598.1502,1.597061034,82.04517128,26505.0191,OC,
413,MNG OC,Telangana ,Bhadradri Kothagudem,17.976,80.8346,1800000,16200000,3620,90,4356,11599.2,362,0.96654,49.545,16005.71154,OC,
414,PVK-5,Telangana ,Bhadradri Kothagudem,17.4983,80.6706,210019,5040456,215.019,2.10019,508.24598,3608.966496,21.5019,0.057410073,1.156154595,4118.426041,UG,
415,VK 7 INC,Telangana ,Bhadradri Kothagudem,17.4793,80.6792,416341,9992184,421.341,4.16341,1007.54522,7154.403744,42.1341,0.112498047,2.291957205,8164.353419,UG,
416,21 INC,Telangana ,Bhadradri Kothagudem,17.5949,80.2244,972,23328,5.972,0.00972,2.35224,16.702848,0.5972,0.001594524,0.00535086,19.06203338,UG,
417,KONDAPURAM,Telangana ,Bhadradri Kothagudem,17.9481,80.75,19911,477864,24.911,0.19911,48.18462,342.150624,2.4911,0.006651237,0.109610055,390.4515053,UG,
418,KTK 1-1A,Telangana ,Jayashankar Bhoopalpally,18.461,79.8605,338534,3046806,697.068,16.9267,819.25228,2181.513096,69.7068,0.186117156,9.31814835,3010.269642,OC,
419,KTK 5 INC,Telangana ,Jayashankar Bhoopalpally,18.5126,79.7622,335209,3016881,690.418,16.76045,811.20578,2160.086796,69.0418,0.184341606,9.226627725,2980.703545,OC,
420,KTK-6 INC,Telangana ,Jayashankar Bhoopalpally,18.4623,79.859,191889,1727001,403.778,9.59445,464.37138,1236.532716,40.3778,0.107808726,5.281744725,1706.293649,OC,
421,KTK OC-II,Telangana ,Jayashankar Bhoopalpally,18.4568,79.8572,1269485,11425365,2558.97,63.47425,3072.1537,8180.56134,255.897,0.68324499,34.94257463,11288.34086,OC,
422,KTK 8&8A,Telangana ,Jayashankar Bhoopalpally,18.4639,79.8611,278343,2505087,576.686,13.91715,673.59006,1793.642292,57.6686,0.153975162,7.661391075,2475.047718,OC,
423,KTK OC- III,Telangana ,Jayashankar Bhoopalpally,18.355,79.9017,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
424,KHAIRAGURA OCP,Telangana ,Komaram Bheem,19.2458,79.2854,2602655,23423895,5225.31,130.13275,6298.4251,16771.50882,522.531,1.39515777,71.63807888,23142.96716,OC,
425,BPA.OC-2-EXTN,Telangana ,Komaram Bheem,19.2125,79.3547,406065,3654585,832.13,20.30325,982.6773,2616.68286,83.213,0.22217871,11.17693913,3610.759278,OC,
426,DORLI OCP-I,Telangana ,Komaram Bheem,19.2785,79.2174,18178,163602,56.356,0.9089,43.99076,117.139032,5.6356,0.015047052,0.50034945,161.6451885,OC,
427,RK OCP-I,Telangana ,Mancherial,18.92722,79.489494,1969656,17726904,3959.312,98.4828,4766.56752,12692.46326,395.9312,1.057136304,54.2147814,17514.3027,OC,
428,KK OC,Telangana ,Mancherial,19.01,79.4651,1750009,15750081,3520.018,87.50045,4235.02178,11277.058,352.0018,0.939844806,48.16899773,15561.18862,OC,
429,SRP OC-II,Telangana ,Mancherial,18.8278,79.5042,2969306,26723754,5958.612,148.4653,7185.72052,19134.20786,595.8612,1.590949404,81.73014765,26403.24948,OC,
430,IK OC,Telangana ,Mancherial,18.8208,79.4917,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
431,KASIPET2,Telangana ,Mancherial,19.0571,79.422,42699,1024776,47.699,0.42699,103.33158,733.739616,4.7699,0.012735633,0.235057995,837.3189896,UG,
432,RK 5 INC,Telangana ,Mancherial,18.8894,79.5081,320156,7683744,325.156,3.20156,774.77752,5501.560704,32.5156,0.086816652,1.76245878,6278.187499,UG,
433,RK 6 INC,Telangana ,Mancherial,18.8724,79.5174,342369,8216856,347.369,3.42369,828.53298,5883.268896,34.7369,0.092747523,1.884741345,6713.779365,UG,
434,RK 7 INC,Telangana ,Mancherial,18.8717,79.5289,401343,9632232,406.343,4.01343,971.25006,6896.678112,40.6343,0.108493581,2.209393215,7870.246059,UG,
435,RK 8 INC,Telangana ,Mancherial,18.8958,79.4917,130816,3139584,135.816,1.30816,316.57472,2247.942144,13.5816,0.036262872,0.72014208,2565.273269,UG,
436,RK - NT,Telangana ,Mancherial,18.8564,79.5325,400378,9609072,405.378,4.00378,968.91476,6880.095552,40.5378,0.108235926,2.20408089,7851.322629,UG,
437,SRP 1 INC,Telangana ,Mancherial,18.8576,79.4994,161502,3876048,166.502,1.61502,390.83484,2775.250368,16.6502,0.044456034,0.88906851,3167.018733,UG,
438,SRP 3&3A INC,Telangana ,Mancherial,18.8596,79.5012,283302,6799248,288.302,2.83302,685.59084,4868.261568,28.8302,0.076976634,1.55957751,5555.488962,UG,
439,IK 1A INC,Telangana ,Mancherial,18.8063,79.5208,225118,5402832,230.118,2.25118,544.78556,3868.427712,23.0118,0.061441506,1.23927459,4414.513988,UG,
440,ALP,Telangana ,Mancherial,18.6648,79.579,2060188,49444512,2065.188,20.60188,4985.65496,35402.27059,206.5188,0.551405196,11.34133494,40399.81829,UG,
441,SK,Telangana ,Mancherial,19.0508,79.5333,91051,2185224,96.051,0.91051,220.34342,1564.620384,9.6051,0.025645617,0.501235755,1785.490685,UG,
442,KK 1 INC,Telangana ,Mancherial,18.9915,79.4796,130566,3133584,135.566,1.30566,315.96972,2243.646144,13.5566,0.036196122,0.71876583,2560.370826,UG,
443,KK 5 INC,Telangana ,Mancherial,18.8278,79.4833,144250,3462000,149.25,1.4425,349.085,2478.792,14.925,0.03984975,0.79409625,2828.710946,UG,
444,KASIPET,Telangana ,Mancherial,19.0203,79.4397,172991,4151784,177.991,1.72991,418.63822,2972.677344,17.7991,0.047523597,0.952315455,3392.315403,UG,
445,RK 1A INC,Telangana ,Mancherial,18.9507,79.4879,115257,2766168,120.257,1.15257,278.92194,1980.576288,12.0257,0.032108619,0.634489785,2260.164826,UG,
446,GDK 5 OC,Telangana ,Peddapalli,18.7425,79.5577,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
447,MEDIPALLI OC,Telangana ,Peddapalli,18.7993,79.4652,1084318,9758862,2188.636,54.2159,2624.04956,6987.345192,218.8636,0.584365812,29.84585295,9641.824971,OC,
448,MEDPL HW,Telangana ,Peddapalli,18.606102,79.389942,165635,1490715,351.27,8.28175,400.8367,1067.35194,35.127,0.09378909,4.559103375,1472.841532,OC,
449,RG OC-3,Telangana ,Peddapalli,18.7111,79.5158,4234619,38111571,8489.238,211.73095,10247.77798,27287.88484,848.9238,2.266626546,116.557888,37654.48733,OC,
450,RG OC-III EXT PH-2,Telangana ,Peddapalli,18.6976,79.5352,2562118,23059062,5144.236,128.1059,6200.32556,16510.28839,514.4236,1.373511012,70.52229795,22782.50976,OC,
451,RG OC-2,Telangana ,Peddapalli,18.6782,79.5406,2368628,21317652,4757.256,118.4314,5732.07976,15263.43883,475.7256,1.270187352,65.1964857,21061.98527,OC,
452,RG OC-I LEP,Telangana ,Peddapalli,18.6683,79.5542,4634942,41714478,9289.884,231.7471,11216.55964,29867.56625,928.9884,2.480399028,127.5767786,41214.18307,OC,
453,Vakilpalli Mine,Telangana ,Peddapalli,18.4014,79.3321,147630,3543120,152.63,1.4763,357.2646,2536.87392,15.263,0.04075221,0.81270315,2894.991975,UG,
454,GDK 7 (LEP),Telangana ,Peddapalli,18.4316,79.3842,198926,4774224,203.926,1.98926,481.40092,3418.344384,20.3926,0.054448242,1.09508763,3900.89484,UG,
455,GDK 1&3 INC,Telangana ,Peddapalli,18.0452,79.3025,214798,5155152,219.798,2.14798,519.81116,3691.088832,21.9798,0.058686066,1.18246299,4212.141141,UG,
456,GDK 2&2A INC,Telangana ,Peddapalli,18.4221,79.3111,283656,6807744,288.656,2.83656,686.44752,4874.344704,28.8656,0.077071152,1.56152628,5562.430821,UG,
457,GDK 5 INC,Telangana ,Peddapalli,18.4545,79.3546,18202,436848,23.202,0.18202,44.04884,312.783168,2.3202,0.006194934,0.10020201,356.9384049,UG,
458,GDK 11 INC,Telangana ,Peddapalli,18.4161,79.3258,804029,19296696,809.029,8.04029,1945.75018,13816.43434,80.9029,0.216010743,4.426179645,15766.82671,UG,
459,GDK 10 INC,Telangana ,Peddapalli,18.3915,79.3345,19551,469224,24.551,0.19551,47.31342,335.964384,2.4551,0.006555117,0.107628255,383.3919874,UG,
