coalQty,elecConsump,transportation,deforestedArea,strategy_label
150000.0,3600000.0,155.0,1.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
270000.0,6480000.0,275.0,2.7,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
200000.0,4800000.0,205.0,2.0,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
50000.0,1200000.0,55.0,0.5,"Switch to renewables,Estimate Carbon Credits"
70000.0,1680000.0,75.0,0.7,"Switch to renewables,Estimate Carbon Credits"
40000.0,960000.0,45.0,0.4,"Switch to renewables,Estimate Carbon Credits"
150000.0,3600000.0,155.0,1.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
100000.0,2400000.0,105.0,1.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
90000.0,2160000.0,95.0,0.9,"Switch to renewables,Estimate Carbon Credits"
60000.0,1440000.0,65.0,0.6,"Switch to renewables,Estimate Carbon Credits"
40000.0,960000.0,45.0,0.4,"Switch to renewables,Estimate Carbon Credits"
20000.0,480000.0,25.0,0.2,Estimate Carbon Credits
30000.0,720000.0,35.0,0.3,"Switch to renewables,Estimate Carbon Credits"
60000.0,1440000.0,65.0,0.6,"Switch to renewables,Estimate Carbon Credits"
30000.0,720000.0,35.0,0.3,"Switch to renewables,Estimate Carbon Credits"
30000.0,720000.0,35.0,0.3,"Switch to renewables,Estimate Carbon Credits"
20000.0,480000.0,25.0,0.2,Estimate Carbon Credits
80000.0,1920000.0,85.0,0.8,"Switch to renewables,Estimate Carbon Credits"
100000.0,2400000.0,105.0,1.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
350000.0,8400000.0,355.0,3.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
410000.0,3690000.0,840.0,20.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1000000.0,9000000.0,2020.0,50.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
100000.0,900000.0,220.0,5.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
1030000.0,9270000.0,2080.0,51.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
50000.0,450000.0,120.0,2.5,"Adopt electric vehicles,Estimate Carbon Credits"
1020000.0,9180000.0,2060.0,51.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
60000.0,540000.0,140.0,3.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
11100000.0,99900000.0,22220.0,555.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
590000.0,5310000.0,1200.0,29.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
650000.0,5850000.0,1320.0,32.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1160000.0,10440000.0,2340.0,58.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
550000.0,4950000.0,1120.0,27.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
480000.0,7680000.0,782.0,240.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
380000.0,6080000.0,622.0,190.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
340000.0,5440000.0,558.0,170.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
730000.0,11680000.0,1182.0,365.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
180000.0,2880000.0,302.0,90.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
740000.0,11840000.0,1198.0,370.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
160000.0,2560000.0,270.0,80.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
140000.0,1260000.0,300.0,7.0,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
370000.0,5920000.0,606.0,185.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1856000.0,16704000.0,3732.0,92.8,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
230000.0,2070000.0,480.0,11.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
161000.0,1449000.0,342.0,8.05,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
90000.0,2160000.0,95.0,0.9,"Switch to renewables,Estimate Carbon Credits"
60000.0,1440000.0,65.0,0.6,"Switch to renewables,Estimate Carbon Credits"
60000.0,1440000.0,65.0,0.6,"Switch to renewables,Estimate Carbon Credits"
400000.0,3600000.0,820.0,20.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
17370000.0,156330000.0,34760.0,868.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
2050000.0000000000,18450000.000000000,4120.0,102.50000000000000,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
185000.0,1665000.0,390.0,9.25,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
92000.0,828000.0,204.0,4.6,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
350000.0,3150000.0,720.0,17.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
70000.0,1680000.0,75.0,0.7,"Switch to renewables,Estimate Carbon Credits"
60000.0,1440000.0,65.0,0.6,"Switch to renewables,Estimate Carbon Credits"
80000.0,1920000.0,85.0,0.8,"Switch to renewables,Estimate Carbon Credits"
80000.0,1920000.0,85.0,0.8,"Switch to renewables,Estimate Carbon Credits"
30000.0,720000.0,35.0,0.3,"Switch to renewables,Estimate Carbon Credits"
40000.0,960000.0,45.0,0.4,"Switch to renewables,Estimate Carbon Credits"
210000.0,1890000.0,440.0,10.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
430000.0,3870000.0,880.0,21.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
400000.0,3600000.0,820.0,20.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
190000.0,1710000.0,400.0,9.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
180000.0,2880000.0,302.0,90.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
40000.0,960000.0,45.0,0.4,"Switch to renewables,Estimate Carbon Credits"
20000.0,480000.0,25.0,0.2,Estimate Carbon Credits
20000.0,480000.0,25.0,0.2,Estimate Carbon Credits
70000.0,1680000.0,75.0,0.7,"Switch to renewables,Estimate Carbon Credits"
10000.0,240000.0,15.0,0.1,Estimate Carbon Credits
20000.0,480000.0,25.0,0.2,Estimate Carbon Credits
20000.0,480000.0,25.0,0.2,Estimate Carbon Credits
3000.0,72000.0,8.0,0.03,Estimate Carbon Credits
130000.0,3120000.0,135.0,1.3,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
10000.0,240000.0,15.0,0.1,Estimate Carbon Credits
530000.0,12720000.0,535.0,5.3,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
1040000.0,9360000.0,2100.0,52.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1650000.0,14850000.0,3320.0,82.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
580000.0,5220000.0,1180.0,29.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
610000.0,5490000.0,1240.0,30.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1170000.0,10530000.0,2360.0,58.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
380000.0,3420000.0,780.0,19.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
30000.0,270000.0,80.0,1.5,Estimate Carbon Credits
540000.0,4860000.0,1100.0,27.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
830000.0,7470000.0,1680.0,41.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1670000.0,15030000.0,3360.0,83.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
130000.0,1170000.0,280.0,6.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
2230000.0,20070000.0,4480.0,111.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2540000.0,22860000.0,5100.0,127.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
180000.0,1620000.0,380.0,9.0,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
780000.0,7020000.0,1580.0,39.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
160000.0,1440000.0,340.0,8.0,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
2680000.0,42880000.0,4302.0,1340.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1200000.0,19200000.0,1934.0,600.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
4220000.0,67520000.0,6766.0,2110.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
670000.0,10720000.0,1086.0,335.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
950000.0,15200000.0,1534.0,475.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
240000.0,3840000.0,398.0,120.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
10000.0,160000.0,30.0,5.0,Estimate Carbon Credits
1922000.0,30752000.0,3089.2000000000000,961.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
320000.0,5120000.0,526.0,160.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1243000.0,11187000.0,2506.0,62.15,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
40000.0,960000.0,45.0,0.4,"Switch to renewables,Estimate Carbon Credits"
680000.0,6120000.0,1380.0,34.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,5.0,0.0,Estimate Carbon Credits
0.0,0.0,5.0,0.0,Estimate Carbon Credits
0.0,0.0,20.0,0.0,Estimate Carbon Credits
10000.0,90000.0,40.0,0.5,Estimate Carbon Credits
0.0,0.0,20.0,0.0,Estimate Carbon Credits
490000.0,4410000.0,1000.0,24.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
30000.0,270000.0,80.0,1.5,Estimate Carbon Credits
0.0,0.0,20.0,0.0,Estimate Carbon Credits
1200000.0,10800000.0,2420.0,60.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
20000.0,480000.0,25.0,0.2,Estimate Carbon Credits
0.0,0.0,5.0,0.0,Estimate Carbon Credits
10000.0,90000.0,40.0,0.5,Estimate Carbon Credits
590000.0,5310000.0,1200.0,29.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
910000.0,8190000.0,1840.0,45.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1400000.0,12600000.0,2820.0,70.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
5303000.0,47727000.0,10626.0,265.15,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
10000.0,240000.0,15.0,0.1,Estimate Carbon Credits
1040000.0,9360000.0,2100.0,52.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2820000.0,25380000.0,5660.0,141.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
110000.0,990000.0,240.0,5.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
420000.0,3780000.0,860.0,21.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1400000.0,12600000.0,2820.0,70.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
500000.0,4500000.0,1020.0,25.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
320000.0,2880000.0,660.0,16.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
9420000.0,84780000.0,18860.0,471.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
47000.0,423000.0,114.0,2.35,"Adopt electric vehicles,Estimate Carbon Credits"
60000.0,1440000.0,65.0,0.6,"Switch to renewables,Estimate Carbon Credits"
0.0,0.0,5.0,0.0,Estimate Carbon Credits
100000.0,2400000.0,105.0,1.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
130000.0,1170000.0,280.0,6.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
880000.0,7920000.0,1780.0,44.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1840000.0,16560000.0,3700.0,92.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
210000.0,1890000.0,440.0,10.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
3270000.0,29430000.0,6560.0,163.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
4450000.0,40050000.0,8920.0,222.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1430000.0,12870000.0,2880.0,71.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2220000.0,19980000.0,4460.0,111.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
460000.0,4140000.0,940.0,23.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
130000.0,1170000.0,280.0,6.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
480000.0,11520000.0,485.0,4.8,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
510000.0,4590000.0,1040.0,25.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
590000.0,5310000.0,1200.0,29.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2940000.0,26460000.0,5900.0,147.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2020000.0,18180000.0,4060.0,101.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
4320000.0,38880000.0,8660.0,216.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
10520000.0,94680000.0,21060.0,526.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
12790000.0,115110000.0,25600.0,639.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
5210000.0,46890000.0,10440.0,260.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1170000.0,10530000.0,2360.0,58.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
228000.0,2052000.0,476.0,11.4,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
798000.0,7182000.0,1616.0,39.9,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
10000.0,90000.0,40.0,0.5,Estimate Carbon Credits
100000.0,900000.0,220.0,5.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
17680000.0,159120000.0,35380.0,884.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
7500000.0,67500000.0,15020.0,375.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2000000.0,18000000.0,4020.0,100.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
13180000.0,118620000.0,26380.0,659.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
7000000.0,63000000.0,14020.0,350.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
80000.0,1920000.0,85.0,0.8,"Switch to renewables,Estimate Carbon Credits"
80000.0,1920000.0,85.0,0.8,"Switch to renewables,Estimate Carbon Credits"
160000.0,3840000.0,165.0,1.6,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
90000.0,2160000.0,95.0,0.9,"Switch to renewables,Estimate Carbon Credits"
0.0,0.0,5.0,0.0,Estimate Carbon Credits
2050000.0000000000,18450000.000000000,4120.0,102.50000000000000,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1080000.0,9720000.0,2180.0,54.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1470000.0,13230000.0,2960.0,73.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
100000.0,2400000.0,105.0,1.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
110000.0,2640000.0,115.0,1.1,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
620000.0,5580000.0,1260.0,31.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1690000.0,15210000.0,3400.0,84.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
630000.0,5670000.0,1280.0,31.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
600000.0,5400000.0,1220.0,30.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
860000.0,7740000.0,1740.0,43.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2110000.0,18990000.0,4240.0,105.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2500000.0,22500000.0,5020.0,125.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
350000.0,3150000.0,720.0,17.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1200000.0,10800000.0,2420.0,60.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
0.0,0.0,20.0,0.0,Estimate Carbon Credits
0.0,0.0,20.0,0.0,Estimate Carbon Credits
6300000.0,56700000.0,12620.0,315.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
50000.0,1200000.0,55.0,0.5,"Switch to renewables,Estimate Carbon Credits"
3920000.0,35280000.0,7860.0,196.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
4120000.0,37080000.0,8260.0,206.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
40.0,360.0,20.08,0.002,Estimate Carbon Credits
70000.0,1680000.0,75.0,0.7,"Switch to renewables,Estimate Carbon Credits"
1380000.0,12420000.0,2780.0,69.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
780000.0,7020000.0,1580.0,39.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
600000.0,5400000.0,1220.0,30.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
470000.0,4230000.0,960.0,23.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,20.0,0.0,Estimate Carbon Credits
300000.0,2700000.0,620.0,15.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
120000.0,1080000.0,260.0,6.0,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
70000.0,630000.0,160.0,3.5,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
250000.0,6000000.0,255.0,2.5,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
230000.0,5520000.0,235.0,2.3,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
130000.0,3120000.0,135.0,1.3,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
0.0,0.0,5.0,0.0,Estimate Carbon Credits
800000.0,7200000.0,1620.0,40.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
3500000.0,31500000.0,7020.0,175.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
900000.0,8100000.0,1820.0,45.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
750000.0,6750000.0,1520.0,37.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1120000.0,10080000.0,2260.0,56.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
4000.0,36000.0,28.0,0.2,Estimate Carbon Credits
4850000.0,43650000.0,9720.0,242.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2000000.0,18000000.0,4020.0,100.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
4140000.0000000000,37260000.00000000,8300.0,207.00000000000000,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
1870000.0,16830000.0,3760.0,93.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
270000.0,2430000.0,560.0,13.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2800000.0,25200000.0,5620.0,140.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
2630000.0,23670000.0,5280.0,131.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
19530000.0,175770000.0,39080.0,976.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
13470000.0,121230000.0,26960.0,673.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
19590000.0,176310000.0,39200.0,979.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
5470000.0,49230000.0,10960.0,273.5,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
18699000.0,168291000.0,37418.0,934.95,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
370000.0,8880000.0,375.0,3.7,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
80000.0,1920000.0,85.0,0.8,"Switch to renewables,Estimate Carbon Credits"
170000.0,4080000.0,175.0,1.7,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
130000.0,3120000.0,135.0,1.3,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
